address,city_council_district,closed_date,created_date,department,ert_estimated_response_time,lat_location,method_received_description,overall_service_request_due_date,priority,service_request_number,service_request_type,status,unique_key,update_date
"9957 BURNHAM DR, DALLAS, TX, 75243",10,,2026-07-01T23:32:55.000,Code Compliance,4 Business Days,"(32.92747323524876000,-96.71380255722401000)",API,,Standard,26-00290188,Code Concern - CCS,New,500cs00001zrfuFAAQ,2026-07-02T00:19:08.000
"9916 ACKLIN DR, DALLAS, TX, 75243",10,,2026-07-01T23:30:33.000,Code Compliance,4 Business Days,"(32.92806613613889500,-96.71560558261619000)",API,,Standard,26-00290186,Code Concern - CCS,New,500cs00001zreBmAAI,2026-07-02T00:16:05.000
"13102 HALWIN CIR, DALLAS, TX, 75243",10,,2026-07-01T23:28:16.000,Code Compliance,4 Business Days,"(32.92654332290220500,-96.71721415852873000)",API,,Standard,26-00290184,Code Concern - CCS,New,500cs00001zrA4QAAU,2026-07-02T00:14:21.000
"9939 BURNHAM DR, DALLAS, TX, 75243",10,,2026-07-01T19:28:01.000,Code Compliance,4 Business Days,"(32.92747445167691000,-96.71454111820812000)",API,,Standard,26-00290001,Code Concern - CCS,New,500cs00001zqFQjAAM,2026-07-01T20:14:05.000
"10062 ROYAL LN, DALLAS, TX, 75238",10,,2026-07-01T17:29:58.000,Code Compliance,4 Business Days,"(32.89432974947045000,-96.71506886664760000)",Phone,,Standard,26-00289889,Code Concern - CCS,New,500cs00001zn2rTAAQ,2026-07-01T18:16:07.000
"8109 SKILLMAN ST, DALLAS, TX, 75231",10,,2026-07-01T16:49:43.000,Code Compliance,7 Business Days,"(32.89152666298918600,-96.72839019622353000)",Proactive,2026-09-15T23:59:00.000,Standard,26-00289830,Single Family Rental Needs Registration - CCS,In Progress,500cs00001znjEsAAI,2026-07-01T17:12:18.000
"8109 SKILLMAN ST, DALLAS, TX, 75231",10,,2026-07-01T16:48:36.000,Code Compliance,7 Business Days,"(32.89152666298918600,-96.72839019622353000)",Proactive,2026-09-15T23:59:00.000,Standard,26-00289828,Single Family Rental Needs Registration - CCS,In Progress,500cs00001zmk1kAAA,2026-07-01T17:16:53.000
"8109 SKILLMAN ST, DALLAS, TX, 75231",10,,2026-07-01T16:47:43.000,Code Compliance,7 Business Days,"(32.89152666298918600,-96.72839019622353000)",Proactive,2026-09-15T23:59:00.000,Standard,26-00289826,Single Family Rental Needs Registration - CCS,In Progress,500cs00001zmlyhAAA,2026-07-01T17:09:23.000
"8109 SKILLMAN ST, DALLAS, TX, 75231",10,,2026-07-01T16:46:39.000,Code Compliance,7 Business Days,"(32.89152666298918600,-96.72839019622353000)",Phone,2026-09-15T23:59:00.000,Standard,26-00289824,Single Family Rental Needs Registration - CCS,In Progress,500cs00001zmoGcAAI,2026-07-01T17:02:19.000
"8109 SKILLMAN ST, DALLAS, TX, 75231",10,,2026-07-01T16:45:23.000,Code Compliance,7 Business Days,"(32.89152666298918600,-96.72839019622353000)",Proactive,2026-09-15T23:59:00.000,Standard,26-00289819,Single Family Rental Needs Registration - CCS,In Progress,500cs00001zmaNPAAY,2026-07-01T16:59:48.000
"10255 BLACK HICKORY RD, DALLAS, TX, 75243",10,,2026-07-01T15:49:26.000,Code Compliance,4 Business Days,"(32.91362209592314000,-96.70709581203090000)",Phone,,Emergency,26-00289672,Code Concern - CCS,New,500cs00001zmrnxAAA,2026-07-01T15:49:35.000
"9218 LEASIDE DR, DALLAS, TX, 75238",10,,2026-07-01T15:48:23.000,Code Compliance,4 Business Days,"(32.87328588083792000,-96.70450017055711000)",Phone,,Standard,26-00289666,Code Concern - CCS,New,500cs00001zmqn3AAA,2026-07-01T15:48:32.000
"8580 ABRAMS RD, DALLAS, TX, 75243",10,,2026-07-01T15:29:37.000,Code Compliance,4 Business Days,"(32.89569414402011000,-96.73930754577256000)",API,,Standard,26-00289622,Code Concern - CCS,New,500cs00001zmR2IAAU,2026-07-01T15:29:44.000
"9690 FOREST LN, DALLAS, TX, 75243",10,,2026-07-01T14:45:58.000,Code Compliance,4 Business Days,"(32.90935060284936000,-96.72299045927319000)",Phone,,Standard,26-00289472,Code Concern - CCS,New,500cs00001zkLH9AAM,2026-07-01T14:46:08.000
"10798 COLEWOOD LN, DALLAS, TX, 75243",10,,2026-07-01T14:45:08.000,Code Compliance,4 Business Days,"(32.90643694582903000,-96.69826979149748000)",API,,Standard,26-00289469,Code Concern - CCS,New,500cs00001ziqLsAAI,2026-07-01T15:31:15.000
"11700 AUDELIA RD, DALLAS, TX, 75243",10,,2026-07-01T14:32:19.000,Code Compliance,4 Business Days,"(32.90817542911421000,-96.71749768513926000)",Phone,,Emergency,26-00289419,Code Concern - CCS,New,500cs00001zjVTqAAM,2026-07-01T14:45:12.000
"12321 BELLAFONTE DR, DALLAS, TX, 75243",10,,2026-07-01T14:05:11.000,Code Compliance,4 Business Days,"(32.91584206541022400,-96.75992606311011000)",Proactive,,Standard,26-00289316,Code Concern - CCS,In Progress,500cs00001ziRqXAAU,2026-07-01T14:29:42.000
"12327 BELLAFONTE DR, DALLAS, TX, 75243",10,,2026-07-01T14:04:16.000,Code Compliance,4 Business Days,"(32.91590405942884000,-96.75989222248889000)",Proactive,,Standard,26-00289311,Code Concern - CCS,In Progress,500cs00001zk281AAA,2026-07-01T14:26:37.000
"12220 HIGH POINT CIR, DALLAS, TX, 75243",10,,2026-07-01T13:34:47.000,Code Compliance,4 Business Days,"(32.91493162864417600,-96.76110388715597000)",Proactive,,Standard,26-00289217,Code Concern - CCS,In Progress,500cs00001zhvCKAAY,2026-07-01T13:59:08.000
"12116 HOBLITZELLE DR, DALLAS, TX, 75243",10,,2026-07-01T13:13:40.000,Code Compliance,7 Business Days,"(32.91345134632902600,-96.76023068992077000)",Phone,2026-09-15T23:59:00.000,Standard,26-00289157,Single Family Rental Needs Registration - CCS,New,500cs00001zip81AAA,2026-07-01T13:13:48.000
"9617 LANSHIRE DR, DALLAS, TX, 75238",10,,2026-07-01T12:53:21.000,Code Compliance,4 Business Days,"(32.86845302933769400,-96.72044730026501000)",Phone,,Standard,26-00289129,Code Concern - CCS,New,500cs00001ziKCHAA2,2026-07-01T12:53:29.000
"9900 ADLETA BLVD, DALLAS, TX, 75243",10,,2026-07-01T12:12:15.000,Code Compliance,4 Business Days,"(32.90087353495156500,-96.71408885447237000)",Phone,,Emergency,26-00289045,Code Concern - CCS,New,500cs00001zhKz7AAE,2026-07-01T12:12:27.000
"9029 CHURCH RD, DALLAS, TX, 75231",10,,2026-07-01T12:05:10.000,Code Compliance,4 Business Days,"(32.88600903513357600,-96.73942788628163000)",Phone,,Standard,26-00289025,Code Concern - CCS,New,500cs00001zeucZAAQ,2026-07-01T12:05:20.000
"10610 METRIC DR, DALLAS, TX, 75243",10,,2026-07-01T11:07:03.000,Code Compliance,4 Business Days,"(32.90513065115078000,-96.70228118528738000)",Phone,,Standard,26-00288850,Code Concern - CCS,New,500cs00001zfuiXAAQ,2026-07-01T11:53:12.000
"10938 CACTUS LN, DALLAS, TX, 75238",10,,2026-07-01T10:39:53.000,Code Compliance,4 Business Days,"(32.86770118200502000,-96.69384134708282000)",API,,Standard,26-00288762,Code Concern - CCS,New,500cs00001zfFAjAAM,2026-07-01T11:26:04.000
"8807 LOCKHAVEN DR, DALLAS, TX, 75238",10,,2026-07-01T10:18:15.000,Code Compliance,4 Business Days,"(32.86835150606706400,-96.70789985044120000)",Phone,,Standard,26-00288690,Code Concern - CCS,New,500cs00001zd3qQAAQ,2026-07-01T10:18:23.000
"9015 WINDY CREST DR, DALLAS, TX, 75243",10,,2026-07-01T09:35:38.000,Code Compliance,4 Business Days,"(32.90735356278315000,-96.74626402451153000)",API,,Standard,26-00288600,Code Concern - CCS,New,500cs00001zcGT9AAM,2026-07-01T10:21:10.000
"12206 DANDRIDGE DR, DALLAS, TX, 75243",10,,2026-07-01T08:07:28.000,Code Compliance,4 Business Days,"(32.91399378885951000,-96.75855044983479000)",API,,Standard,26-00288374,Code Concern - CCS,New,500cs00001zbyMXAAY,2026-07-01T08:07:35.000
"8330 GLEN REGAL DR, DALLAS, TX, 75243",10,,2026-07-01T04:02:19.000,Code Compliance,4 Business Days,"(32.91988160981200000,-96.75831060596416000)",API,,Standard,26-00288256,Code Concern - CCS,New,500cs00001zZ562AAC,2026-07-01T04:02:28.000
"8329 GLEN REGAL DR, DALLAS, TX, 75243",10,,2026-07-01T03:43:27.000,Code Compliance,4 Business Days,"(32.92015677605111500,-96.75834166091296000)",API,,Standard,26-00288254,Code Concern - CCS,New,500cs00001zZRMfAAO,2026-07-01T03:43:33.000
