address,city_council_district,closed_date,created_date,department,ert_estimated_response_time,lat_location,method_received_description,overall_service_request_due_date,priority,service_request_number,service_request_type,status,unique_key,update_date
"9614 HEATHERDALE DR, DALLAS, TX, 75243",10,,2026-07-04T20:25:51.000,Code Compliance,4 Business Days,"(32.90404358766287000,-96.73046072633255000)",API,,Standard,26-00293689,Code Concern - CCS,New,500cs000020Lof8AAC,2026-07-04T20:25:57.000
"9010 MARKVILLE DR, DALLAS, TX, 75243",10,,2026-07-04T19:27:47.000,Code Compliance,4 Business Days,"(32.91556703920932000,-96.75024085239312000)",API,,Emergency,26-00293661,Code Concern - CCS,New,500cs000020LeuTAAS,2026-07-04T20:14:12.000
"10105 APPLE CREEK DR, DALLAS, TX, 75243",10,,2026-07-04T17:40:44.000,Code Compliance,4 Business Days,"(32.91477965377374000,-96.72090268015586000)",API,,Standard,26-00293614,Code Concern - CCS,New,500cs000020LHJNAA4,2026-07-04T17:40:50.000
"9633 FERRIS BRANCH BLVD, DALLAS, TX, 75243",10,,2026-07-04T16:05:32.000,Code Compliance,4 Business Days,"(32.90203774901380000,-96.72643637868696000)",Phone,,Emergency,26-00293573,Code Concern - CCS,New,500cs000020KjpZAAS,2026-07-04T16:05:42.000
"8850 FAIR OAKS XING, DALLAS, TX, 75243",10,,2026-07-04T13:17:06.000,Code Compliance,4 Business Days,"(32.89973069704038000,-96.72545691669112000)",Phone,,Standard,26-00293479,Code Concern - CCS,New,500cs000020JzwPAAS,2026-07-04T14:03:07.000
"8204 BENARES DR, DALLAS, TX, 75243",10,,2026-07-04T11:19:20.000,Code Compliance,4 Business Days,"(32.91583796228698000,-96.76218564181713000)",API,,Standard,26-00293404,Code Concern - CCS,New,500cs000020JSvdAAG,2026-07-04T11:19:27.000
"10901 MCINTOSH CT, DALLAS, TX, 75238",10,2026-07-04T16:54:23.000,2026-07-04T10:16:00.000,Code Compliance,4 Business Days,"(32.87302536850952000,-96.69486476149585000)",API,,Standard,26-00293350,Code Concern - CCS,Closed,500cs000020JAHBAA4,2026-07-04T16:54:23.000
"10905 MCINTOSH CT, DALLAS, TX, 75238",10,,2026-07-04T09:52:49.000,Code Compliance,4 Business Days,"(32.87302533583489000,-96.69487367840334000)",API,,Standard,26-00293329,Code Concern - CCS,In Progress,500cs000020J3dtAAC,2026-07-04T16:59:09.000
"9006 BRYSON DR, DALLAS, TX, 75238",10,,2026-07-04T09:43:58.000,Code Compliance,4 Business Days,"(32.87189204838492000,-96.69641623284174000)",API,,Standard,26-00293320,Code Concern - CCS,New,500cs000020J0WMAA0,2026-07-04T09:44:15.000
"10819 WALLBROOK DR, DALLAS, TX, 75238",10,,2026-07-04T09:40:56.000,Code Compliance,4 Business Days,"(32.87693327068877000,-96.69763919537513000)",API,,Standard,26-00293317,Code Concern - CCS,New,500cs000020IjKGAA0,2026-07-04T09:41:02.000
